artist,score,author
Dirty Projectors,7.4,Jazz Monroe
Lotic,7.8,Sasha Geffen
S4U,7.3,Dean Van Nguyen
Sean Henry,5.7,Nina Corcoran
Juvenile,9.4,Paul A. Thompson
DJ Seinfeld,6.5,Philip Sherburne
Chastity,8.0,Stuart Berman
Rosali ,7.2,Allison Hussey
Okzharp & Manthe Ribane,6.0,Ben Cardew
Deafheaven,8.5,Sam Sodomsky
Body/Head,8.0,Marc Masters
Tanukichan,7.7,Margaret Farrell
AGF,7.6,Jesse Dorris
Kamasi Washington,6.5,Andy Beta
Rizzla,7.2,Larry Fitzmaurice
So Stressed,7.3,Calum Marsh
Westside Gunn,7.1,Mike Madden
Future,8.0,Meaghan Garvey
Bjørn Torske,6.9,Andy Beta
Haron ,8.0,Philip Sherburne
Yung Bans,6.3,Torry Threadcraft
Meek Mill,7.2,Sheldon Pearce
Container,7.5,Miles Bowe
Alan Braufman,7.2,Andy Beta
T. Hardy Morris,7.6,Stephen M. Deusner
Jim James,7.6,Stuart Berman
RP Boo,7.8,Ben Cardew
Alex Zhang Hungtai,7.7,Stuart Berman
"Mika Vainio, Franck Vigroux",7.8,Thea Ballard
Mary Margaret O’Hara,8.5,Laura Snapes
Years & Years,6.5,Cameron Cook
"David Sylvian, Holger Czukay",6.7,Robert Ham
Hana Vu,7.0,Jenn Pelly
Pablo’s Eye,8.2,Andy Beta
Carl Stone,6.1,Daniel Martin-McCormick
03 Greedo,8.0,Torii MacAdams
Lil Reek,7.4,Alphonse Pierre
Florence and the Machine,5.7,Katherine St. Asaph
Ned Lagin,8.0,Jesse Jarnow
Let’s Eat Grandma,8.6,Meaghan Garvey
The Rock*A*Teens,7.5,Sam Sodomsky
Topdown Dialectic,8.0,Philip Sherburne
Drake,6.9,Jamieson Cox
The Milk Carton Kids,6.8,Max Savage Levenson
Mark Fell,7.4,Alexander Iadarola
Khemmis,6.8,Zoe Camp
Nirvana,8.7,Jenn Pelly
John Coltrane,8.6,Ben Ratliff
Chris Crofton,7.4,Stephen M. Deusner
Sink Ya Teeth,7.0,Larry Fitzmaurice
Vein,7.8,Andy O'Connor
Gorillaz,6.8,Jazz Monroe
Freddie Gibbs,7.8,Meaghan Garvey
Marshmello ,4.2,Larry Fitzmaurice
Dawes,5.6,Max Savage Levenson
Arp,7.6,Philip Sherburne
Death Grips,7.3,Ian Cohen
MIKE,7.5,Jayson Greene
Lorenzo BITW,6.7,Chal Ravens
Project Pablo,5.9,Ben Cardew
Teyana Taylor,7.8,Claire Lobenfeld
Best Coast,7.0,Marc Hogan
M. Geddes Gengras,6.9,Philip Sherburne
Blawan,7.2,Ben Cardew
A Boogie Wit Da Hoodie,6.3,Sheldon Pearce
